,Names,tags
0,삼성에스디에스,IT
1,카카오페이,IT
2,현대오토에버,IT
3,포스코 ICT,IT
4,DSNL,IT
5,한국정보통신,IT
6,NHN한국사이버결제,IT
7,다날,IT
8,롯데정보통신,IT
9,KG이니시스,IT
10,키다리스튜디오,IT
11,나이스정보통신,IT
12,카페24,IT
13,KG모빌리언스,IT
14,갤럭시아머니트리,IT
15,Hecto Financial,IT
16,이크레더블,IT
17,신세계I&C,IT
18,효성ITX,IT
19,윈스,IT
20,아시아나IDT,IT
21,DB,IT
22,가비아,IT
23,한일네트웍스,IT
24,광무,IT
25,SBI핀테크솔루션즈,IT
26,핑거,IT
27,플래티어,IT
28,오상자이엘,IT
29,콤텍시스템,IT
30,오픈베이스,IT
31,에스넷,IT
32,이삭엔지니어링,IT
33,한네트,IT
34,아이티센,IT
35,인성정보,IT
36,링크제니시스,IT
37,오파스넷,IT
38,네오리진,IT
39,케이씨에스,IT
40,쌍용정보통신,IT
41,링네트,IT
42,정원엔시스,IT
43,브리지텍,IT
44,싸이버원,IT
45,대신정보통신,IT
46,토마토시스템,IT
47,플랜티넷,IT
48,에스에스알,IT
49,아이크래프트,IT
50,삼성에스디에스,IT
51,카카오페이,IT
52,현대오토에버,IT
53,포스코 ICT,IT
54,DSNL,IT
55,한국정보통신,IT
56,NHN한국사이버결제,IT
57,다날,IT
58,롯데정보통신,IT
59,KG이니시스,IT
60,키다리스튜디오,IT
61,나이스정보통신,IT
62,카페24,IT
63,KG모빌리언스,IT
64,갤럭시아머니트리,IT
65,Hecto Financial,IT
66,이크레더블,IT
67,신세계I&C,IT
68,효성ITX,IT
69,윈스,IT
70,아시아나IDT,IT
71,DB,IT
72,가비아,IT
73,한일네트웍스,IT
74,광무,IT
75,SBI핀테크솔루션즈,IT
76,핑거,IT
77,플래티어,IT
78,오상자이엘,IT
79,콤텍시스템,IT
80,오픈베이스,IT
81,에스넷,IT
82,이삭엔지니어링,IT
83,한네트,IT
84,아이티센,IT
85,인성정보,IT
86,링크제니시스,IT
87,오파스넷,IT
88,네오리진,IT
89,케이씨에스,IT
90,쌍용정보통신,IT
91,링네트,IT
92,정원엔시스,IT
93,브리지텍,IT
94,싸이버원,IT
95,대신정보통신,IT
96,토마토시스템,IT
97,플랜티넷,IT
98,에스에스알,IT
99,아이크래프트,IT
100,유엔젤,IT
101,한솔PNS,IT
102,한솔인티큐브,IT
103,굿센,IT
104,비케이탑스,IT
105,롯데리츠,IT
106,ESR켄달스퀘어리츠,IT
107,SK리츠,IT
108,제이알글로벌,IT
109,신한알파리츠,IT
110,코람코에너지,IT
111,한국자산신탁,IT
112,맵스리얼티1,IT
113,이리츠코크렙,IT
114,디앤디플랫폼리츠,IT
115,신한서부티엔디리츠,IT
116,코람코더원리츠,IT
117,NH올원리츠,IT
118,이지스밸류플러스리츠,IT
119,미래에셋글로벌리츠,IT
120,이지스레지던스리츠,IT
121,Nh Prime,IT
122,미래에셋맵스리츠,IT
123,케이탑리츠,IT
124,모두투어리츠,IT
125,에이리츠,IT
126,쎄노텍,건설
127,현대건설우,건설
128,현대건설,건설
129,삼성엔지니어링,건설
130,DL이앤씨우,건설
131,GS건설,건설
132,한전기술,건설
133,대우건설,건설
134,DL이앤씨,건설
135,DL Holdings Prf,건설
136,DL,건설
137,아이에스동서,건설
138,HDC현대산업개발,건설
139,코오롱글로벌우,건설
140,티와이홀딩스,건설
141,태영건설우,건설
142,코오롱글로벌,건설
143,금호산업우,건설
144,DL건설,건설
145,Soosan Industries,건설
146,진흥기업2우B,건설
147,진흥기업우B,건설
148,동국S&C,건설
149,도화엔지니어링,건설
150,동부건설우,건설
151,삼부토건,건설
152,한라,건설
153,서희건설,건설
154,금호산업,건설
155,한양이엔지,건설
156,동부건설,건설
157,동아지질,건설
158,진흥기업,건설
159,태영건설,건설
160,한미글로벌,건설
161,계룡건설,건설
162,금화피에스시,건설
163,특수건설,건설
164,일성건설,건설
165,화성산업,건설
166,동신건설,건설
167,KCC건설,건설
168,원방테크,건설
169,한신공영,건설
170,KT서브마린,건설
171,서한,건설
172,이테크건설,건설
173,유신,건설
174,이화공영,건설
175,남광토건,건설
176,삼호개발,건설
177,현대건설우,건설
178,현대건설,건설
179,삼성엔지니어링,건설
180,DL이앤씨우,건설
181,GS건설,건설
182,한전기술,건설
183,대우건설,건설
184,DL이앤씨,건설
185,DL Holdings Prf,건설
186,DL,건설
187,아이에스동서,건설
188,HDC현대산업개발,건설
189,코오롱글로벌우,건설
190,티와이홀딩스,건설
191,태영건설우,건설
192,코오롱글로벌,건설
193,금호산업우,건설
194,DL건설,건설
195,Soosan Industries,건설
196,진흥기업2우B,건설
197,진흥기업우B,건설
198,동국S&C,건설
199,도화엔지니어링,건설
200,동부건설우,건설
201,삼부토건,건설
202,한라,건설
203,서희건설,건설
204,금호산업,건설
205,한양이엔지,건설
206,동부건설,건설
207,동아지질,건설
208,진흥기업,건설
209,태영건설,건설
210,한미글로벌,건설
211,계룡건설,건설
212,금화피에스시,건설
213,특수건설,건설
214,일성건설,건설
215,화성산업,건설
216,동신건설,건설
217,KCC건설,건설
218,원방테크,건설
219,한신공영,건설
220,KT서브마린,건설
221,서한,건설
222,이테크건설,건설
223,유신,건설
224,이화공영,건설
225,남광토건,건설
226,삼호개발,건설
227,시공테크,건설
228,범양건영,건설
229,신세계건설,건설
230,세보엠이씨,건설
231,까뮤이앤씨,건설
232,스페코,건설
233,웰크론한텍,건설
234,성도이엔지,건설
235,남화토건,건설
236,한국종합기술,건설
237,우원개발,건설
238,상지카일룸,건설
239,KH E T,건설
240,신원종합개발,건설
241,에쓰씨엔지니어링,건설
242,삼일기업공사,건설
243,우진아이엔에스,건설
244,엑사이엔씨,건설
245,누리플랜,건설
246,관악산업,건설
247,비디아이,건설
248,엔에스컴퍼니,건설
249,청광종건,건설
250,POSCO홀딩스,금
251,고려아연,금
252,현대제철,금
253,동국제강,금
254,영풍,금
255,KG스틸,금
256,풍산,금
257,세아베스틸,금
258,세아제강지주,금
259,남선알미우,금
260,고려제강,금
261,세아제강,금
262,세아홀딩스,금
263,동일산업,금
264,현대비앤지스틸우,금
265,조일알미늄,금
266,한국철강,금
267,아주스틸,금
268,포스코엠텍,금
269,남선알미늄,금
270,삼아알미늄,금
271,풍산홀딩스,금
272,대한제강,금
273,동국산업,금
274,금강공업우,금
275,TCC스틸,금
276,휴스틸,금
277,현대비앤지스틸,금
278,포스코강판,금
279,키스코홀딩스,금
280,동일금속,금
281,금강공업,금
282,금강철강,금
283,세아특수강,금
284,디씨엠,금
285,한국특강,금
286,황금에스티,금
287,그린플러스,금
288,동양철관,금
289,조선선재,금
290,NI스틸,금
291,대양금속,금
292,대창,금
293,티플랙스,금
294,삼원강재,금
295,이구산업,금
296,덕신하우징,금
297,경남스틸,금
298,다스코,금
299,한국선재,금
300,POSCO홀딩스,금
